Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-12-31,11208.2,11799.0,11204.6,11650.0,11499.2,11847.0,1353.99
2016-01-01,11500.0,11618.0,11260.0,11270.0,11383.55,2051.0,235.24
2016-01-04,11222.25,11439.9,10855.0,11129.0,11059.3,4498.0,499.76
2016-01-05,11217.0,11333.0,10944.0,11100.0,11124.3,7198.0,799.47
2016-01-06,11124.75,11597.9,11000.0,11430.0,11452.35,9380.0,1053.89
2016-01-07,11272.4,11334.45,10930.3,10970.0,10978.95,2766.0,306.01
2016-01-08,11162.15,11306.3,11001.0,11100.0,11152.9,4118.0,458.15
2016-01-11,10966.0,11275.0,10810.2,10900.0,10912.05,5323.0,583.59
2016-01-12,11074.95,11150.0,10421.1,10729.5,10596.1,11068.0,1184.22
2016-01-13,10799.95,10799.95,10420.0,10536.05,10540.15,2909.0,307.32
2016-01-14,10526.75,10526.75,10089.95,10140.0,10192.75,23409.0,2394.48
2016-01-15,10250.0,10300.0,9399.95,10000.0,9801.4,10273.0,1019.29
2016-01-18,9762.5,9925.0,9600.0,9701.55,9703.7,11279.0,1093.93
2016-01-19,9900.0,10098.95,9711.0,9820.0,9843.0,12738.0,1253.67
2016-01-20,9820.0,9849.95,9649.95,9698.85,9716.5,10403.0,1012.35
2016-01-21,9773.95,9780.95,9424.8,9460.0,9525.3,36385.0,3477.99
2016-01-22,9644.9,10060.0,9450.0,9780.0,9923.15,24316.0,2378.61
2016-01-25,9900.0,10269.95,9811.25,10050.0,10015.05,12714.0,1284.22
2016-01-27,10006.0,10115.0,9830.0,10000.0,9965.15,21533.0,2150.13
2016-01-28,9965.0,10398.0,9701.9,10199.95,10116.65,16836.0,1682.95
2016-01-29,10497.0,10798.0,10105.0,10700.0,10549.75,14335.0,1494.05
2016-02-01,10699.95,10827.15,10529.05,10700.0,10681.1,16509.0,1766.74
2016-02-02,10764.95,10937.95,10201.05,10280.0,10411.55,22975.0,2430.7
2016-02-03,10201.0,10292.6,9800.0,10190.0,10166.95,13185.0,1333.22
2016-02-04,10292.3,10800.0,10292.3,10512.0,10539.9,11802.0,1249.26
2016-02-05,10589.95,10659.95,10300.0,10350.0,10384.05,4801.0,502.24
2016-02-08,10480.0,10549.9,10200.0,10350.0,10303.2,1980.0,206.6
2016-02-09,10299.95,10399.0,10097.0,10360.75,10304.7,1529.0,156.76
2016-02-10,10304.0,10550.0,10030.0,10500.0,10325.25,4134.0,425.01
2016-02-11,10316.15,10674.0,10250.0,10424.0,10340.45,6613.0,684.93
2016-02-12,10340.0,10575.65,10051.0,10450.0,10491.55,8681.0,904.52
2016-02-15,10511.0,10749.0,10322.2,10485.05,10499.1,11807.0,1238.52
2016-02-16,10450.0,10630.45,10120.0,10202.15,10222.3,9957.0,1032.36
2016-02-17,10272.0,10297.7,10000.0,10021.0,10074.35,15627.0,1583.87
2016-02-18,10168.0,11182.5,10167.95,10800.0,10894.0,18292.0,1962.11
2016-02-19,10802.0,11174.95,10619.95,10655.0,10653.9,4658.0,503.49
2016-02-22,10656.0,10899.2,10653.0,10810.0,10801.05,9947.0,1074.3
2016-02-23,10760.0,10810.05,10406.15,10481.0,10492.7,2530.0,268.08
2016-02-24,10440.0,10540.6,10405.0,10405.45,10496.8,7181.0,753.94
2016-02-25,10491.0,10598.95,10251.05,10500.0,10496.75,5215.0,546.52
2016-02-26,10616.0,10616.0,10300.0,10310.1,10339.35,3020.0,313.03
2016-02-29,10270.0,10400.05,9900.35,10025.4,10003.7,15874.0,1596.0
2016-03-01,10079.4,10490.0,10079.4,10400.25,10406.5,17321.0,1790.31
2016-03-02,10316.0,11080.0,10316.0,10900.0,10814.25,8498.0,912.03
2016-03-03,11088.65,11350.0,10565.05,11288.0,11189.0,15025.0,1681.87
2016-03-04,11248.0,11299.0,10850.0,11100.0,11055.85,8477.0,941.13
2016-03-08,11249.85,11600.0,10851.0,11291.7,11357.05,32870.0,3731.96
2016-03-09,11356.95,11433.85,10980.0,11027.55,11140.25,9427.0,1047.86
2016-03-10,11240.0,11350.0,11050.0,11149.95,11133.15,4126.0,462.9
2016-03-11,11270.0,11344.0,11100.0,11220.0,11258.85,11494.0,1291.99
2016-03-14,11100.0,11595.0,11001.05,11550.0,11551.95,14312.0,1648.15
2016-03-15,11470.0,11483.65,11275.8,11350.0,11317.95,3445.0,391.77
2016-03-16,11353.4,11520.0,11160.05,11500.0,11490.45,33047.0,3712.52
2016-03-17,11420.0,11766.0,11322.1,11670.35,11649.1,15310.0,1780.4
2016-03-18,11705.0,13165.1,11681.7,12199.0,12262.8,56975.0,6944.13
